Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
34,0.14956855225311602,1346,0.1383975026014568,19,2,0.13577586206896552,1,18,2,0.17006802721088435,93,3,1,0.23938223937897848,4,0.10091743119266336,2661,8758,0,0.16122448979591836,0.10436432637571158,11,3,3,80,1,3,2,3,2,2,1,2,0
28,0.14956855225311602,103,0.1383975026014568,24,3,0.14686468646864687,1,19,3,0.17006802721088435,50,2,1,0.23938223937897848,3,0.2553191489361702,2028,12947,5,0.16122448979591836,0.30528846153846156,14,3,2,80,0,6,4,3,4,2,0,3,1
29,0.14956855225311602,1389,0.1383975026014568,21,4,0.14686468646864687,1,20,2,0.14795918367346939,51,4,3,0.06896586105729074,1,0.10091743119266336,9980,10195,1,0.16122448979591836,0.10436432637571158,11,3,3,80,1,10,1,3,10,9,8,8,0
32,0.14956855225311602,334,0.1383975026014568,5,2,0.14686468646864687,1,21,1,0.17006802721088435,80,4,1,0.16095890410958943,2,0.10091743119266336,3298,15053,0,0.16122448979591836,0.30528846153846156,12,3,4,80,2,7,5,2,6,2,0,5,0
22,0.08000018359368788,1123,0.1383975026014568,16,2,0.13577586206896552,1,22,4,0.17006802721088435,96,4,1,0.23938223937897848,4,0.10091743119266336,2935,7324,1,0.16122448979591836,0.30528846153846156,13,3,2,80,2,1,2,2,1,0,0,0,0
53,0.14956855225311602,1219,0.2062780269058296,2,4,0.14686468646864687,1,23,1,0.14795918367346939,78,2,4,0.04905041685272943,4,0.12481426448736999,15427,22021,2,0.16122448979591836,0.10436432637571158,16,3,3,80,0,31,3,3,25,8,3,7,0
38,0.14956855225311602,371,0.1383975026014568,2,3,0.14686468646864687,1,24,4,0.17006802721088435,45,3,1,0.16095890410958943,4,0.2553191489361702,3944,4306,5,0.16122448979591836,0.30528846153846156,11,3,3,80,0,6,3,3,3,2,1,2,0
24,0.08000018359368788,673,0.1383975026014568,11,2,0.13420118338933018,1,26,1,0.14795918367346939,96,4,2,0.06896586105729074,3,0.10091743119266336,4011,8232,0,0.16122448979591836,0.10436432637571158,18,3,4,80,1,5,5,2,4,2,1,3,0
36,0.14956855225311602,1218,0.2062780269058296,9,4,0.14686468646864687,1,27,3,0.17006802721088435,82,2,1,0.3971571172349599,1,0.2553191489361702,3407,6986,7,0.16122448979591836,0.10436432637571158,23,4,2,80,0,10,4,3,5,3,0,3,1
34,0.14956855225311602,419,0.1383975026014568,7,4,0.14686468646864687,1,28,1,0.14795918367346939,53,3,3,0.02533683182797013,2,0.2553191489361702,11994,21293,0,0.16122448979591836,0.10436432637571158,11,3,3,80,0,13,4,3,12,6,2,11,0
21,0.14956855225311602,391,0.1383975026014568,15,2,0.14686468646864687,1,30,3,0.17006802721088435,96,3,1,0.16095890410958943,4,0.2553191489361702,1232,19281,1,0.16122448979591836,0.10436432637571158,14,3,4,80,0,0,6,3,0,0,0,0,0
34,0.14956855225311602,699,0.1383975026014568,6,1,0.13577586206896552,1,31,2,0.17006802721088435,83,3,1,0.16095890410958943,1,0.2553191489361702,2960,17102,2,0.16122448979591836,0.10436432637571158,11,3,3,80,0,8,2,3,4,2,1,3,1
53,0.14956855225311602,1282,0.1383975026014568,5,3,0.13420118338933018,1,32,3,0.14795918367346939,58,3,5,0.04905041685272943,3,0.10091743119266336,19094,10735,4,0.16122448979591836,0.10436432637571158,11,3,4,80,1,26,3,2,14,13,4,8,0
32,0.2490974729235817,1125,0.1383975026014568,16,1,0.14686468646864687,1,33,2,0.14795918367346939,72,1,1,0.16095890410958943,1,0.2553191489361702,3919,4681,1,0.16122448979591836,0.30528846153846156,22,4,2,80,0,10,5,3,10,2,6,7,1
42,0.14956855225311602,691,0.2062780269058296,8,4,0.22012573203437844,1,35,3,0.17006802721088435,48,3,2,0.17484662576687046,2,0.12481426448736999,6825,21173,0,0.16122448979591836,0.10436432637571158,11,3,4,80,1,10,2,3,9,7,4,2,0
44,0.14956855225311602,477,0.1383975026014568,7,4,0.13577586206896552,1,36,1,0.14795918367346939,42,2,3,0.06870368828064846,4,0.12481426448736999,10248,2094,3,0.16122448979591836,0.10436432637571158,14,3,4,80,1,24,4,3,22,6,5,17,0
46,0.14956855225311602,705,0.2062780269058296,2,4,0.22012573203437844,1,38,2,0.14795918367346939,83,3,5,0.04905041685272943,1,0.2553191489361702,18947,22822,3,0.16122448979591836,0.10436432637571158,12,3,4,80,0,22,2,2,2,2,2,1,0
33,0.14956855225311602,924,0.1383975026014568,2,3,0.13577586206896552,1,39,3,0.17006802721088435,78,3,1,0.23938223937897848,4,0.2553191489361702,2496,6670,4,0.16122448979591836,0.10436432637571158,11,3,4,80,0,7,3,3,1,1,0,0,0
44,0.14956855225311602,1459,0.1383975026014568,10,4,0.13420118338933018,1,40,4,0.17006802721088435,41,3,2,0.06870368828064846,4,0.12481426448736999,6465,19121,2,0.16122448979591836,0.30528846153846156,13,3,4,80,0,9,5,4,4,2,1,3,0
30,0.14956855225311602,125,0.1383975026014568,9,2,0.13577586206896552,1,41,4,0.17006802721088435,83,2,1,0.23938223937897848,3,0.2553191489361702,2206,16117,1,0.16122448979591836,0.10436432637571158,13,3,1,80,0,10,5,3,10,0,1,8,0
39,0.14956855225311602,895,0.2062780269058296,5,3,0.24242313209808733,1,42,4,0.17006802721088435,56,3,2,0.3971571172349599,4,0.12481426448736999,2086,3335,3,0.16122448979591836,0.10436432637571158,14,3,3,80,1,19,6,4,1,0,0,0,1
24,0.14956855225311602,813,0.1383975026014568,1,3,0.13577586206896552,1,45,2,0.17006802721088435,61,3,1,0.16095890410958943,4,0.12481426448736999,2293,3020,2,0.16122448979591836,0.30528846153846156,16,3,1,80,1,6,2,2,2,0,2,0,1
43,0.14956855225311602,1273,0.1383975026014568,2,2,0.13577586206896552,1,46,4,0.14795918367346939,72,4,1,0.16095890410958943,3,0.10091743119266336,2645,21923,1,0.16122448979591836,0.10436432637571158,12,3,4,80,2,6,3,2,5,3,1,4,0
50,0.14956855225311602,869,0.2062780269058296,3,2,0.22012573203437844,1,47,1,0.17006802721088435,86,2,1,0.3971571172349599,3,0.12481426448736999,2683,3810,1,0.16122448979591836,0.30528846153846156,14,3,3,80,0,3,2,3,3,2,0,2,1
35,0.14956855225311602,890,0.2062780269058296,2,3,0.22012573203437844,1,49,4,0.14795918367346939,97,3,1,0.3971571172349599,4,0.12481426448736999,2014,9687,1,0.16122448979591836,0.10436432637571158,13,3,1,80,0,2,3,3,2,2,2,2,0
36,0.14956855225311602,852,0.1383975026014568,5,4,0.14686468646864687,1,51,2,0.14795918367346939,82,2,1,0.16095890410958943,1,0.12481426448736999,3419,13072,9,0.16122448979591836,0.30528846153846156,14,3,4,80,1,6,3,4,1,1,0,0,0
33,0.2490974729235817,1141,0.2062780269058296,1,3,0.14686468646864687,1,52,3,0.14795918367346939,42,4,2,0.17484662576687046,1,0.12481426448736999,5376,3193,2,0.16122448979591836,0.10436432637571158,19,3,1,80,2,10,3,3,5,3,1,3,0
35,0.14956855225311602,464,0.1383975026014568,4,2,0.13420118338933018,1,53,3,0.17006802721088435,75,3,1,0.23938223937897848,4,0.10091743119266336,1951,10910,1,0.16122448979591836,0.10436432637571158,12,3,3,80,1,1,3,3,1,0,0,0,0
27,0.14956855225311602,1240,0.1383975026014568,2,4,0.14686468646864687,1,54,4,0.14795918367346939,33,3,1,0.23938223937897848,1,0.10091743119266336,2341,19715,1,0.16122448979591836,0.10436432637571158,13,3,4,80,1,1,6,3,1,0,0,0,0
26,0.14956855225311602,1357,0.1383975026014568,25,3,0.14686468646864687,1,55,1,0.17006802721088435,48,1,1,0.23938223937897848,3,0.2553191489361702,2293,10558,1,0.16122448979591836,0.10436432637571158,12,3,3,80,0,1,2,2,1,0,0,1,1
27,0.2490974729235817,994,0.2062780269058296,8,3,0.14686468646864687,1,56,4,0.17006802721088435,37,3,3,0.17484662576687046,3,0.2553191489361702,8726,2975,1,0.16122448979591836,0.10436432637571158,15,3,4,80,0,9,0,3,9,8,1,7,0
30,0.2490974729235817,721,0.1383975026014568,1,2,0.13577586206896552,1,57,3,0.14795918367346939,58,3,2,0.23938223937897848,4,0.2553191489361702,4011,10781,1,0.16122448979591836,0.10436432637571158,23,4,4,80,0,12,2,3,12,8,3,7,0
41,0.14956855225311602,1360,0.1383975026014568,12,3,0.24242313209808733,1,58,2,0.14795918367346939,49,3,5,0.02533683182797013,3,0.12481426448736999,19545,16280,1,0.16122448979591836,0.10436432637571158,12,3,4,80,0,23,0,3,22,15,15,8,1
34,0.08000018359368788,1065,0.2062780269058296,23,4,0.22012573203437844,1,60,2,0.17006802721088435,72,3,2,0.17484662576687046,3,0.2553191489361702,4568,10034,0,0.16122448979591836,0.10436432637571158,20,4,3,80,0,10,2,3,9,5,8,7,0
37,0.14956855225311602,408,0.1383975026014568,19,2,0.14686468646864687,1,61,2,0.17006802721088435,73,3,1,0.16095890410958943,2,0.12481426448736999,3022,10227,4,0.16122448979591836,0.10436432637571158,21,4,1,80,0,8,1,3,1,0,0,0,0
46,0.2490974729235817,1211,0.2062780269058296,5,4,0.22012573203437844,1,62,1,0.17006802721088435,98,3,2,0.17484662576687046,4,0.2553191489361702,5772,20445,4,0.16122448979591836,0.30528846153846156,21,4,3,80,0,14,4,3,9,6,0,8,0
35,0.14956855225311602,1229,0.1383975026014568,8,1,0.14686468646864687,1,63,4,0.17006802721088435,36,4,1,0.23938223937897848,4,0.12481426448736999,2269,4892,1,0.16122448979591836,0.10436432637571158,19,3,4,80,0,1,2,3,1,0,0,1,0
48,0.14956855225311602,626,0.1383975026014568,1,2,0.14686468646864687,1,64,1,0.17006802721088435,98,2,3,0.23938223937897848,3,0.2553191489361702,5381,19294,9,0.16122448979591836,0.30528846153846156,13,3,4,80,0,23,2,3,1,0,0,0,1
28,0.14956855225311602,1434,0.1383975026014568,5,4,0.24242313209808733,1,65,3,0.17006802721088435,50,3,1,0.23938223937897848,3,0.2553191489361702,3441,11179,1,0.16122448979591836,0.30528846153846156,13,3,3,80,0,2,3,2,2,2,2,2,1
44,0.14956855225311602,1488,0.2062780269058296,1,5,0.22012573203437844,1,68,2,0.14795918367346939,75,3,2,0.17484662576687046,1,0.10091743119266336,5454,4009,5,0.16122448979591836,0.30528846153846156,21,4,3,80,1,9,2,2,4,3,1,3,0
35,0.08000018359368788,1097,0.1383975026014568,11,2,0.13577586206896552,1,70,3,0.17006802721088435,79,2,3,0.06870368828064846,1,0.12481426448736999,9884,8302,2,0.16122448979591836,0.30528846153846156,13,3,3,80,1,10,3,3,4,0,2,3,0
26,0.14956855225311602,1443,0.2062780269058296,23,3,0.22012573203437844,1,72,3,0.14795918367346939,47,2,2,0.17484662576687046,4,0.12481426448736999,4157,21436,7,0.16122448979591836,0.30528846153846156,19,3,3,80,1,5,2,2,2,2,0,0,0
33,0.2490974729235817,515,0.1383975026014568,1,2,0.14686468646864687,1,73,1,0.14795918367346939,98,3,3,0.02533683182797013,4,0.2553191489361702,13458,15146,1,0.16122448979591836,0.30528846153846156,12,3,3,80,0,15,1,3,15,14,8,12,0
35,0.2490974729235817,853,0.2062780269058296,18,5,0.14686468646864687,1,74,2,0.17006802721088435,71,3,3,0.17484662576687046,1,0.12481426448736999,9069,11031,1,0.16122448979591836,0.10436432637571158,22,4,4,80,1,9,3,2,9,8,1,8,0
35,0.14956855225311602,1142,0.1383975026014568,23,4,0.13577586206896552,1,75,3,0.14795918367346939,30,3,1,0.23938223937897848,1,0.12481426448736999,4014,16002,3,0.16122448979591836,0.30528846153846156,15,3,3,80,1,4,3,3,2,2,2,2,0
31,0.14956855225311602,655,0.1383975026014568,7,4,0.14686468646864687,1,76,4,0.17006802721088435,48,3,2,0.23938223937897848,4,0.10091743119266336,5915,9528,3,0.16122448979591836,0.10436432637571158,22,4,4,80,1,10,3,2,7,7,1,7,0
37,0.14956855225311602,1115,0.1383975026014568,1,4,0.14686468646864687,1,77,1,0.17006802721088435,51,2,2,0.06896586105729074,3,0.10091743119266336,5993,2689,1,0.16122448979591836,0.10436432637571158,18,3,3,80,1,7,2,4,7,5,0,7,0
32,0.14956855225311602,427,0.1383975026014568,1,3,0.13577586206896552,1,78,1,0.17006802721088435,33,3,2,0.06896586105729074,4,0.12481426448736999,6162,10877,1,0.16122448979591836,0.30528846153846156,22,4,2,80,1,9,3,3,9,8,7,8,0
38,0.2490974729235817,653,0.1383975026014568,29,5,0.14686468646864687,1,79,4,0.14795918367346939,50,3,2,0.23938223937897848,4,0.2553191489361702,2406,5456,1,0.16122448979591836,0.10436432637571158,11,3,4,80,0,10,2,3,10,3,9,9,0
50,0.14956855225311602,989,0.1383975026014568,7,2,0.13577586206896552,1,80,2,0.14795918367346939,43,2,5,0.02533683182797013,3,0.10091743119266336,18740,16701,5,0.16122448979591836,0.30528846153846156,12,3,4,80,1,29,2,2,27,3,13,8,0
59,0.14956855225311602,1435,0.2062780269058296,25,3,0.14686468646864687,1,81,1,0.14795918367346939,99,3,3,0.17484662576687046,1,0.2553191489361702,7637,2354,7,0.16122448979591836,0.10436432637571158,11,3,4,80,0,28,3,2,21,16,7,9,0
36,0.14956855225311602,1223,0.1383975026014568,8,3,0.24242313209808733,1,83,3,0.14795918367346939,59,3,3,0.06870368828064846,3,0.10091743119266336,10096,8202,1,0.16122448979591836,0.10436432637571158,13,3,2,80,3,17,2,3,17,14,12,8,0
55,0.14956855225311602,836,0.1383975026014568,8,3,0.13577586206896552,1,84,4,0.14795918367346939,33,3,4,0.04905041685272943,3,0.10091743119266336,14756,19730,2,0.16122448979591836,0.30528846153846156,14,3,3,80,3,21,2,3,5,0,0,2,0
36,0.2490974729235817,1195,0.1383975026014568,11,3,0.14686468646864687,1,85,2,0.17006802721088435,95,2,2,0.06896586105729074,2,0.2553191489361702,6499,22656,1,0.16122448979591836,0.10436432637571158,13,3,3,80,0,6,3,3,6,5,0,3,0
45,0.14956855225311602,1339,0.1383975026014568,7,3,0.14686468646864687,1,86,2,0.17006802721088435,59,3,3,0.16095890410958943,1,0.10091743119266336,9724,18787,2,0.16122448979591836,0.10436432637571158,17,3,3,80,1,25,2,3,1,0,0,0,0
35,0.2490974729235817,664,0.1383975026014568,1,3,0.13577586206896552,1,88,2,0.17006802721088435,79,3,1,0.16095890410958943,1,0.12481426448736999,2194,5868,4,0.16122448979591836,0.10436432637571158,13,3,4,80,1,5,2,2,3,2,1,2,0
36,0.14956855225311602,318,0.1383975026014568,9,3,0.13577586206896552,1,90,4,0.17006802721088435,79,2,1,0.16095890410958943,3,0.12481426448736999,3388,21777,0,0.16122448979591836,0.30528846153846156,17,3,1,80,1,2,0,2,1,0,0,0,1
59,0.2490974729235817,1225,0.2062780269058296,1,1,0.14686468646864687,1,91,1,0.14795918367346939,57,2,2,0.17484662576687046,3,0.2553191489361702,5473,24668,7,0.16122448979591836,0.10436432637571158,11,3,4,80,0,20,2,2,4,3,1,3,0
29,0.14956855225311602,1328,0.1383975026014568,2,3,0.14686468646864687,1,94,3,0.17006802721088435,76,3,1,0.16095890410958943,2,0.12481426448736999,2703,4956,0,0.16122448979591836,0.10436432637571158,23,4,4,80,1,6,3,3,5,4,0,4,0
31,0.14956855225311602,1082,0.1383975026014568,1,4,0.13577586206896552,1,95,3,0.17006802721088435,87,3,1,0.16095890410958943,2,0.2553191489361702,2501,18775,1,0.16122448979591836,0.10436432637571158,17,3,2,80,0,1,4,3,1,1,1,0,0
32,0.14956855225311602,548,0.1383975026014568,1,3,0.14686468646864687,1,96,2,0.17006802721088435,66,3,2,0.16095890410958943,2,0.12481426448736999,6220,7346,1,0.16122448979591836,0.10436432637571158,17,3,2,80,2,10,3,3,10,4,0,9,0
36,0.14956855225311602,132,0.1383975026014568,6,3,0.14686468646864687,1,97,2,0.14795918367346939,55,4,1,0.23938223937897848,4,0.12481426448736999,3038,22002,3,0.16122448979591836,0.10436432637571158,12,3,2,80,0,5,3,3,1,0,0,0,0
31,0.14956855225311602,746,0.1383975026014568,8,4,0.14686468646864687,1,98,3,0.14795918367346939,61,3,2,0.06896586105729074,4,0.2553191489361702,4424,20682,1,0.16122448979591836,0.10436432637571158,23,4,4,80,0,11,2,3,11,7,1,8,0
35,0.14956855225311602,776,0.2062780269058296,1,4,0.22012573203437844,1,100,3,0.17006802721088435,32,2,2,0.17484662576687046,1,0.2553191489361702,4312,23016,0,0.16122448979591836,0.10436432637571158,14,3,2,80,0,16,2,3,15,13,2,8,0
45,0.14956855225311602,193,0.1383975026014568,6,4,0.13420118338933018,1,101,4,0.17006802721088435,52,3,3,0.02533683182797013,1,0.12481426448736999,13245,15067,4,0.16122448979591836,0.30528846153846156,14,3,2,80,0,17,3,4,0,0,0,0,0
37,0.14956855225311602,397,0.1383975026014568,7,4,0.13577586206896552,1,102,1,0.17006802721088435,30,3,3,0.02533683182797013,3,0.2553191489361702,13664,25258,4,0.16122448979591836,0.10436432637571158,13,3,1,80,0,16,3,4,5,2,0,2,0
46,0.14956855225311602,945,0.19008460036286423,5,2,0.13577586206896552,1,103,2,0.17006802721088435,80,3,2,0.22804546072229726,2,0.10091743119266336,5021,10425,8,0.16122448979591836,0.30528846153846156,22,4,4,80,1,16,2,3,4,2,0,2,0
30,0.14956855225311602,852,0.1383975026014568,1,1,0.14686468646864687,1,104,4,0.17006802721088435,55,2,2,0.23938223937897848,4,0.12481426448736999,5126,15998,1,0.16122448979591836,0.30528846153846156,12,3,3,80,2,10,1,2,10,8,3,0,0
35,0.14956855225311602,1214,0.1383975026014568,1,3,0.13577586206896552,1,105,2,0.17006802721088435,30,2,1,0.16095890410958943,3,0.2553191489361702,2859,26278,1,0.16122448979591836,0.10436432637571158,18,3,1,80,0,6,3,3,6,4,0,4,0
55,0.14956855225311602,111,0.2062780269058296,1,2,0.14686468646864687,1,106,1,0.17006802721088435,70,3,3,0.17484662576687046,4,0.12481426448736999,10239,18092,3,0.16122448979591836,0.10436432637571158,14,3,4,80,1,24,4,3,1,0,1,0,0
38,0.08000018359368788,573,0.1383975026014568,6,3,0.13577586206896552,1,107,2,0.14795918367346939,79,1,2,0.16095890410958943,4,0.10091743119266336,5329,15717,7,0.16122448979591836,0.30528846153846156,12,3,4,80,3,17,3,3,13,11,1,9,0
34,0.14956855225311602,1153,0.1383975026014568,1,2,0.13577586206896552,1,110,1,0.17006802721088435,94,3,2,0.06896586105729074,2,0.12481426448736999,4325,17736,1,0.16122448979591836,0.10436432637571158,15,3,3,80,0,5,2,3,5,2,1,3,0
56,0.14956855225311602,1400,0.1383975026014568,7,3,0.14686468646864687,1,112,4,0.17006802721088435,49,1,3,0.06896586105729074,4,0.2553191489361702,7260,21698,4,0.16122448979591836,0.10436432637571158,11,3,1,80,0,37,3,2,6,4,0,2,0
23,0.14956855225311602,541,0.2062780269058296,2,1,0.24242313209808733,1,113,3,0.17006802721088435,62,3,1,0.3971571172349599,1,0.10091743119266336,2322,9518,3,0.16122448979591836,0.10436432637571158,13,3,3,80,1,3,3,3,0,0,0,0,0
51,0.14956855225311602,432,0.1383975026014568,9,4,0.14686468646864687,1,116,4,0.17006802721088435,96,3,1,0.23938223937897848,4,0.12481426448736999,2075,18725,3,0.16122448979591836,0.10436432637571158,23,4,2,80,2,10,4,3,4,2,0,3,0
30,0.14956855225311602,288,0.1383975026014568,2,3,0.14686468646864687,1,117,3,0.17006802721088435,99,2,2,0.06870368828064846,4,0.12481426448736999,4152,15830,1,0.16122448979591836,0.10436432637571158,19,3,1,80,3,11,3,3,11,10,10,8,0
46,0.14956855225311602,669,0.2062780269058296,9,2,0.13577586206896552,1,118,3,0.17006802721088435,64,2,3,0.17484662576687046,4,0.2553191489361702,9619,13596,1,0.16122448979591836,0.10436432637571158,16,3,4,80,0,9,3,3,9,8,4,7,1
40,0.2490974729235817,530,0.1383975026014568,1,4,0.14686468646864687,1,119,3,0.17006802721088435,78,2,4,0.06870368828064846,2,0.12481426448736999,13503,14115,1,0.16122448979591836,0.10436432637571158,22,4,4,80,1,22,3,2,22,3,11,11,0
51,0.14956855225311602,632,0.2062780269058296,21,4,0.22012573203437844,1,120,3,0.17006802721088435,71,3,2,0.17484662576687046,4,0.2553191489361702,5441,8423,0,0.16122448979591836,0.30528846153846156,22,4,4,80,0,11,2,1,10,7,1,0,0
30,0.14956855225311602,1334,0.2062780269058296,4,2,0.13577586206896552,1,121,3,0.14795918367346939,63,2,2,0.17484662576687046,2,0.10091743119266336,5209,19760,1,0.16122448979591836,0.30528846153846156,12,3,2,80,3,11,4,2,11,8,2,7,0
46,0.2490974729235817,638,0.1383975026014568,1,3,0.13577586206896552,1,124,3,0.17006802721088435,40,2,3,0.06870368828064846,1,0.12481426448736999,10673,3142,2,0.16122448979591836,0.30528846153846156,13,3,3,80,1,21,5,2,10,9,9,5,0
32,0.14956855225311602,1093,0.2062780269058296,6,4,0.13577586206896552,1,125,2,0.17006802721088435,87,3,2,0.17484662576687046,3,0.2553191489361702,5010,24301,1,0.16122448979591836,0.10436432637571158,16,3,1,80,0,12,0,3,11,8,5,7,0
54,0.14956855225311602,1217,0.1383975026014568,2,4,0.24242313209808733,1,126,1,0.14795918367346939,60,3,3,0.02533683182797013,3,0.12481426448736999,13549,24001,9,0.16122448979591836,0.10436432637571158,12,3,1,80,1,16,5,1,4,3,0,3,0
24,0.14956855225311602,1353,0.2062780269058296,3,2,0.13420118338933018,1,128,1,0.14795918367346939,33,3,2,0.17484662576687046,3,0.12481426448736999,4999,17519,0,0.16122448979591836,0.10436432637571158,21,4,1,80,1,4,2,2,3,2,0,2,0
28,0.08000018359368788,120,0.2062780269058296,4,3,0.13577586206896552,1,129,2,0.17006802721088435,43,3,2,0.17484662576687046,3,0.12481426448736999,4221,8863,1,0.16122448979591836,0.10436432637571158,15,3,2,80,0,5,3,4,5,4,0,4,0
58,0.14956855225311602,682,0.2062780269058296,10,4,0.13577586206896552,1,131,4,0.17006802721088435,37,3,4,0.17484662576687046,3,0.2553191489361702,13872,24409,0,0.16122448979591836,0.10436432637571158,13,3,3,80,0,38,1,2,37,10,1,8,0
44,0.08000018359368788,489,0.1383975026014568,23,3,0.13577586206896552,1,132,2,0.17006802721088435,67,3,2,0.23938223937897848,2,0.12481426448736999,2042,25043,4,0.16122448979591836,0.10436432637571158,12,3,3,80,1,17,3,4,3,2,1,2,0
37,0.14956855225311602,807,0.19008460036286423,6,4,0.22673012399864786,1,133,3,0.17006802721088435,63,3,1,0.22804546072229726,1,0.10091743119266336,2073,23648,4,0.16122448979591836,0.30528846153846156,22,4,4,80,0,7,3,3,3,2,0,2,1
32,0.14956855225311602,827,0.1383975026014568,1,1,0.14686468646864687,1,134,4,0.17006802721088435,71,3,1,0.16095890410958943,1,0.2553191489361702,2956,15178,1,0.16122448979591836,0.10436432637571158,13,3,4,80,0,1,2,3,1,0,0,0,0
20,0.2490974729235817,871,0.1383975026014568,6,3,0.14686468646864687,1,137,4,0.14795918367346939,66,2,1,0.23938223937897848,4,0.2553191489361702,2926,19783,1,0.16122448979591836,0.30528846153846156,18,3,2,80,0,1,5,3,1,0,1,0,1
34,0.14956855225311602,665,0.1383975026014568,6,4,0.13420118338933018,1,138,1,0.14795918367346939,41,3,2,0.16095890410958943,3,0.2553191489361702,4809,12482,1,0.16122448979591836,0.10436432637571158,14,3,3,80,0,16,3,3,16,13,2,10,0
